Carrier.Rocket;Launch.Failure.Occurencies;Outcome;Outcome.Text
Thor DM-18 Able I;3;0;Failure
Luna;6;0;Failure
Juno II;1;0;Failure
Atlas-D Able;3;0;Failure
Atlas LV-3 Agena-B;0;1;Succesful
Molniya-L;3;0;Failure
Molniya-M;4;0;Failure
Molniya;0;1;Succesful
Atlas LV-3C Centaur-D;0;1;Succesful
Delta E1;1;0;Failure
Atlas SLV-3 Agena-D;0;1;Succesful
Atlas SLV-3C Centaur-D;0;1;Succesful
Proton-K/D;9;0;Failure
Saturn V;0;1;Succesful
N1;1;0;Failure
Delta 1913;0;1;Succesful
Atlas SLV-3D Centaur-D1A;0;1;Succesful
Delta 2914;0;1;Succesful
Mu-3S-II;0;1;Succesful
Mu-4S-II;0;1;Succesful
Delta II 6925;0;1;Succesful
Delta II 7925-10;0;1;Succesful
Titan II (23)G Star-37FM;0;1;Succesful
Proton-K/DM3;0;1;Succesful
Athena II;0;1;Succesful
M-V;0;1;Succesful
Delta II 7425-10;0;1;Succesful
Ariane 5G;0;1;Succesful
Delta II 7925-10L;0;1;Succesful
Delta II 7925-11L;0;1;Succesful
Delta II 7925;0;1;Succesful
H-IIA 2022;0;1;Succesful
Long March 3A;0;1;Succesful
PSLV-XL C11;0;1;Succesful
Atlas V 401;0;1;Succesful
Long March 3C;0;1;Succesful
Delta II 7920H;0;1;Succesful
Delta II 7921H;0;1;Succesful
Minotaur V;0;1;Succesful
Long March 3B;0;1;Succesful
Falcon 9 Full Thrust;0;1;Succesful
Long March 4C;0;1;Succesful
Falcon 9;0;1;Succesful
LVM3 M1;0;1;Succesful
Long March 5;0;1;Succesful
Electron;0;1;Succesful
SLS Block 1;0;1;Succesful
Falcon 9 Block 5;0;1;Succesful
Ariane 5 ECA;0;1;Succesful
LVM3 M4;0;1;Succesful
Soyuz-2.1b/Fregat;0;1;Succesful
H-IIA;0;1;Succesful
